word,hint
강아지,개의 새끼 또는 어린 개
개나리,봄에 노란 꽃을 피우는 나무
거북이,등에 딱딱한 껍데기를 가진 파충류
고구마,땅속에서 자라는 달콤한 뿌리채소
고양이,야옹 하고 우는 반려동물
교과서,학교에서 수업에 쓰는 책
기차역,기차가 멈추고 승객이 타고 내리는 곳
나팔꽃,나팔 모양으로 피는 덩굴 꽃
냉장고,식재료를 저온 보관하는 가전제품
다람쥐,도토리를 모으는 작은 동물
도서관,책을 모아 두고 읽는 공공 장소
독수리,날카로운 발톱을 가진 큰 맹금류
동화책,어린이를 위한 이야기 책
라디오,전파로 소리를 내보내는 기기
마술사,신기한 마술을 부리는 사람
망원경,먼 곳을 크게 보는 광학 기구
미술관,예술품을 전시하는 공간
바나나,노란 껍질의 달콤한 열대 과일
바닷가,바다와 육지가 맞닿는 곳
박물관,역사적 유물을 전시하는 곳
볶음밥,밥을 볶아 만든 요리
비행기,날개와 엔진으로 하늘을 나는 교통수단
사이다,달콤하고 탄산이 있는 음료
삼겹살,돼지의 배 부위 고기
소나기,갑자기 쏟아지는 비
소방서,화재를 진압하는 기관
수족관,물고기와 수중 생물을 전시하는 곳
신호등,교통 흐름을 알려주는 색깔 등
영화관,영화를 상영하는 극장
원숭이,나무를 잘 타는 영장류
유치원,취학 전 아동을 교육하는 기관
자동차,엔진으로 달리는 대표 교통수단
자전거,두 바퀴로 페달을 밟아 타는 탈것
장난감,어린이가 갖고 노는 물건
전기차,전기 배터리로 달리는 자동차
조각가,조각품을 만드는 예술가
줄넘기,줄을 돌리며 넘는 운동
지우개,연필 글씨를 지우는 고무
지하철,땅 아래를 달리는 도시 철도
체육관,운동과 체육 활동을 하는 건물
청소기,먼지를 빨아들이는 가전제품
축구공,축구 경기에 쓰이는 둥근 공
카메라,사진이나 영상을 찍는 기기
컴퓨터,데이터를 처리하는 전자 기기
태권도,우리나라 전통 무술 스포츠
탁구공,탁구에 쓰이는 작고 가벼운 공
편의점,24시간 운영하는 작은 상점
호랑이,줄무늬를 가진 아시아 최고 포식자
화장실,용변을 보거나 세면하는 공간
건망증,쉽게 잊어버리는 증상
관악기,입으로 불어서 소리내는 악기
귀마개,추울 때 귀를 덮는 물건
노래방,마이크로 노래를 부를 수 있는 가게
동물원,다양한 동물을 전시하는 시설
미용실,머리카락을 자르고 손질하는 곳
백화점,다양한 상품을 파는 대형 쇼핑몰
소방관,화재를 진압하고 인명을 구조하는 직업
에어컨,실내 공기를 시원하게 해주는 기기
우체통,편지와 우편물을 넣는 빨간 통
천문대,별과 우주를 관측하는 시설
컵라면,뜨거운 물만 부으면 되는 즉석 라면
태양계,태양과 그 주위를 도는 행성들
나침반,방위를 알려주는 도구
마라탕,중국식 매운 국물 요리
잠수함,물속을 항해하는 배
탄산수,기포가 들어간 물
행복감,행복하다고 느끼는 감정
노란색,황색 계열의 밝은 색
도마뱀,파충류 중 하나로 꼬리가 잘림
보름달,음력 15일에 뜨는 둥근 달
세탁기,의류를 세척하는 가전제품
은하수,수많은 별이 밀집한 우리 은하
이슬비,가늘게 내리는 이슬 같은 비
책꽂이,책을 세워 꽂는 가구
통조림,밀폐된 통에 담은 식품
트로피,우승을 기념하는 상
함박눈,크고 굵게 내리는 눈
눈사람,눈을 굴려서 만든 사람 모양
솔방울,소나무에서 떨어지는 둥근 열매
승강기,사람이나 물건을 위아래로 옮기는 기계
인절미,콩가루를 묻힌 떡
증명서,사실을 증명하는 문서
풍선껌,불어서 부풀리는 껌
크레인,무거운 물건을 들어올리는 건설 장비
굴착기,땅을 파는 건설 기계
게시판,공지나 글을 붙이는 판
색종이,여러 색으로 된 종이
알사탕,둥근 모양의 사탕
선풍기,전기로 바람을 일으키는 가전
소나무,사계절 내내 푸른 나무
두꺼비,피부가 우둘투둘한 양서류
메뚜기,풀숲에 사는 뛰어오르는 곤충
목소리,입으로 내는 소리
물고기,물속에서 사는 척추동물
코끼리,코가 긴 커다란 동물
피아노,건반을 눌러 소리를 내는 악기
멍멍이,개를 부르는 귀여운 말
역전승,뒤지다가 이기는 것
손수건,손을 닦거나 땀을 닦는 천
운동화,운동할 때 신는 신발
에너지,힘이나 활동을 일으키는 원천
주차장,차를 세워두는 곳
도시락,외출할 때 싸가는 식사
목도리,추울 때 목에 감는 천
아파트,여러 세대가 층층이 사는 공동 주택
달팽이,더듬이를 가진 느린 연체동물
당나귀,귀가 크고 느린 동물
대나무,마디가 있는 줄기의 식물
도깨비,뿔 달린 괴물의 민속 존재
두더지,땅속에 사는 작은 포유류
두루미,긴 다리와 목을 가진 새
먹구름,비가 올 것 같은 검은 구름
모닥불,야외에서 피우는 작은 불
무궁화,우리나라 국화
무지개,비 온 뒤 하늘에 뜨는 칠색 띠
무화과,꽃 없이 열매를 맺는 과일
미나리,물가에 자라는 향이 있는 채소
반딧불,여름 밤에 빛을 내는 곤충
방울새,방울처럼 맑은 소리로 우는 새
벌나비,벌과 나비를 아울러 부르는 말
복숭아,복사나무에서 열리는 과일
부엉이,밤에 활동하는 올빼미과 새
비탈길,경사진 언덕길
사마귀,앞발로 먹이를 잡는 곤충
산토끼,산에 사는 야생 토끼
산딸기,산에서 자라는 빨간 열매
새우젓,새우로 담근 젓갈
소쿠리,대나무로 만든 그릇
소시지,돼지고기를 넣은 소시지
솜사탕,솜처럼 부드러운 사탕
시금치,철분이 풍부한 녹색 채소
시냇물,작은 시내에 흐르는 물
꽃다발,꽃을 묶어 만든 선물
나뭇잎,나무의 잎
눈송이,송이처럼 뭉쳐서 내리는 눈
망아지,말의 새끼
방앗간,곡식을 빻는 곳
양배추,겹겹이 잎이 싸인 채소
알갱이,작고 둥근 낱낱의 알
개구리,논에 사는 양서류
고사리,산나물로 먹는 양치식물
까마귀,온몸이 검은 새
도라지,하얀 꽃이 피는 약초
민들레,봄에 피는 노란 들꽃
바가지,박으로 만든 그릇
봉숭아,손톱 물드리는 꽃
붕어빵,붕어 모양 과자
비빔밥,재료를 비벼 먹는 밥
빈대떡,녹두로 부친 전
올챙이,개구리가 되기 전 모습
왜가리,다리 긴 물새
잠자리,날개 넷 달린 곤충
지렁이,흙 속에 사는 환형동물
감자탕,돼지 뼈와 감자 국
갈비탕,소갈비 맑은 국
금붕어,주황빛 관상용 물고기
나루터,강을 건너는 곳
논두렁,논 사이 좁은 길
뚝배기,찌개를 끓이는 토기
도토리,참나무 열매
물총새,물가의 파란 새
아지랑,봄날 아른거리는 열기
여우비,햇빛 속에 내리는 비
오두막,작고 소박한 집
진달래,봄에 피는 분홍 꽃
국화꽃,가을에 피는 꽃
떡볶이,떡을 볶은 분식
박쥐집,박쥐가 사는 동굴
수련꽃,연못에 피는 꽃
참나무,도토리가 열리는 나무
하얀눈,흰 눈송이
호박꽃,호박의 노란 꽃
회오리,소용돌이치는 바람
냉이국,냉이 된장국
밀가루,밀로 만든 가루
수달이,물가에 사는 포유류
왕거미,크고 다리 긴 거미
황국화,노란 국화꽃
고추잠,붉은 빛의 잠자리
물레방,물레방아가 있는 곳
아카시,하얀 꽃이 피는 나무
오동잎,오동나무의 큰 잎
호박잎,호박넝쿨의 잎
