word,hint
해바라기꽃,태양을 향해 피는 노란 꽃
무지개빛깔,빨주노초파남보 일곱 가지 색
반딧불이빛,밤에 깜빡이는 반딧불이의 빛
민들레홀씨,바람에 날아가는 민들레 씨앗
아지랑이춤,봄날 따뜻한 공기가 일렁이는 것
소나무향기,소나무에서 풍기는 맑은 향기
시냇물소리,맑은 시냇물이 흐르는 소리
독수리날개,하늘을 나는 독수리의 큰 날개
잠자리날개,투명하게 빛나는 잠자리 날개
나비효과론,작은 원인이 큰 결과를 만든다는 이론
고양이발톱,고양이의 날카로운 발톱
돌고래점프,바다 위로 뛰어오르는 돌고래
벚꽃잎날려,봄바람에 벚꽃잎이 날리는 것
단풍잎물들,가을에 빨갛게 물드는 단풍잎
눈꽃송이가,눈이 꽃처럼 내리는 것
소나기구름,갑자기 비를 쏟아내는 구름
파도소리듣,바닷가에서 파도 소리를 듣는 것
별자리보기,밤하늘의 별자리를 찾아보는 것
달빛환한밤,달빛이 환하게 비추는 밤
떡볶이냄새,매콤달콤한 떡볶이에서 나는 냄새
삼겹살구이,불판에 노릇하게 구운 삼겹살
순두부찌개,부드러운 두부로 끓인 얼큰한 찌개
호박고구마,달콤한 맛이 나는 주황색 고구마
수박화채맛,수박을 넣어 만든 시원한 화채
옥수수수염,옥수수 껍질 안에 달린 실 같은 것
크리스마스,12월 25일 예수 탄생을 기념하는 날
호두과자맛,호두 모양 틀에 구운 달콤한 과자
솜사탕뭉게,구름처럼 뭉게뭉게 달콤한 솜사탕
달고나뽑기,달달한 달고나를 틀에 찍어 만드는 것
버스정류장,버스가 서는 정해진 장소
지하철역사,지하철이 다니는 역
어린이공원,어린이를 위한 놀이 공원
도서관책장,도서관에 책이 꽂혀 있는 선반
박물관전시,박물관에서 유물을 전시하는 것
놀이공원길,놀이공원으로 향하는 길
수영장물결,수영장에서 찰랑이는 물결
놀이터미끄,어린이들이 노는 미끄럼틀
편의점야간,밤새도록 문을 여는 편의점
칠판지우개,칠판에 쓴 글씨를 지우는 도구
독서감상문,책을 읽고 느낀 점을 쓴 글
수학문제집,수학 문제가 담긴 연습 책
선생님칭찬,선생님이 학생을 칭찬하는 것
급식줄서기,학교에서 급식을 받으려고 줄 서는 것
색칠공부책,그림에 색을 칠하는 어린이 책
